	thread_no	post_no	subject	author	tripcode	capcode	date	user_id	body
0	1198689181	1	Let's talk with Jim-san. Part8	名無し編集部員			2007-12-27 02:13:01	ffsa/Xof	" Let's talk with Jim-san , who is the manager of bbspink.com. 
If you can write your questions or some other things in English, 
please write them in English. 

Since Jim-san is very kind, 
so that in case you get spelling error, 
or write in incorrect grammar, 
he will be able to understand what you want to say. 

Those who cannot understand English may write them in Japanese. 
Accommodating persons will translate for you. 

このスレッドは、ピンクちゃんねるの管理人さんのジムさんと 
英語でお話しようスレです。 
英語できる人は、できれば英語で書いてくださいな。 
ジムさんは、とってもやさしいので 
文法とか単語のつづりが「かなり間違っている」英語でも 
きっとわかってくれますよん。 

英語はどうしても無理、って人は日本語でどうぞ。 
親切な人がきっと翻訳してくれます。 

Jim-san cap handle. 
Jim ◆6P7QkQf8Ys ＠Apparently admin ★ 

A previous thread 
Let's talk with Jim-san. Part7 
http://pie.bbspink.com/test/read.cgi/erobbs/1198685309/"
1	1198689181	2			WOLF/Lo/sE		2007-12-27 02:14:12	5qsGkDM0	" I said that you must make a compliant to FOX. 
Anyway,we want to suggest us masterplan. 
Suggest us right here."
2	1198689181	3		名無し編集部員			2007-12-27 02:15:08	ffsa/Xof	" Hey, Jim. 
We NEED YOU. 
Visit http://mamono.2ch.net/test/read.cgi/nanmin/1198580303/ with your T-3 (maru ●) urgently !"
3	1198689181	4			WOLF/Lo/sE		2007-12-27 02:16:44	5qsGkDM0	" I said that you must make a compliant to FOX. 
Anyway,we want you to suggest us masterplan. 
Suggest us right here."
4	1198689181	5			79EROOYuCc		2007-12-27 02:30:52	xR3mGHI6	" PINKちゃんねる秘密基地の秘密基地 
http://mamono.2ch.net/test/read.cgi/nanmin/1198580303/798 

translate 

Do you still want to walk with 2ch? 
79 always says that 2ch and bbspik are in symbiotic relationship. 

If your idea is different, let us know how different."
5	1198689181	6		名無し編集部員			2007-12-27 02:31:48	IB8ZB5JP	 現時点でジムはこの問題を解決できますか?
6	1198689181	7		名無し編集部員			2007-12-27 02:33:34	pwVB6i5I	" >>6 translate 
Does Mr.Jim solve this provlem at this time?"
7	1198689181	8		名無し編集部員			2007-12-27 02:34:32	ffsa/Xof	" Jim,  
79 told us she has not talked with you directly even under this emergency. 
Why? I can't believe it. 
Though I know you're very busy right now, but visit refuge thread and talk with us immediately."
8	1198689181	9		名無し編集部員			2007-12-27 02:37:49	Ya7oJ7Iy	" >>6 
I think he will say ""chotto matta kudasai""."
9	1198689181	10			79EROOYuCc		2007-12-27 02:41:42	xR3mGHI6	" PINKちゃんねる秘密基地の秘密基地 
http://mamono.2ch.net/test/read.cgi/nanmin/1198580303/828 


自分の質問は以下の通りです。  

1.なぜ規制に反対したか。  
2.ボランティアで動いてくれていた2ちゃん側に感謝はなかったのか。  
3.2ちゃんの規制ガイドラインに反対するなら、代案はあるのか。それは実行可能か。  
4.2ちゃん運営側の協力なしで、運営していくことはできるのか。  
5.なによりも、今回の大規模アラシを、管理者としてどうするつもりなのか。  

-------- 
Following is my question 

1/Why were you against blocking syste before? 
2/Didn't you feel any feeling of gratitude who are working as volunteer in 2ch? 
3/IF you are against 2ch blocking system plan, do you have any alternative ideas? and are those practicall available? 
4/Can you run bbspink without 2ch help? 
5/Moreover, what are you going to deal with this vandalism as manager of bbspink?"
10	1198689181	11		名無し編集部員			2007-12-27 02:45:55	Ya7oJ7Iy	 また頭冷やして寝ろっつわれるぞ79
11	1198689181	12		Jim	6P7QkQf8Ys	＠Apparently admin	2007-12-27 02:49:44	???	" >>10 
I have never been against blocking. You are talking nonsense. 
I am not playing a violin and watching Rome burn. I am trying 
to help. I am not your vandal, please don't point the finger at me. 
I am very busy right now. 
Of course I feel gratitude for 2ch volunteers."
12	1198689181	13			79EROOYuCc		2007-12-27 02:50:35	xR3mGHI6	" I want to know your idea about >>5 
also >>4"
13	1198689181	14		名無し編集部員			2007-12-27 02:52:39	IB8ZB5JP	 忙しいですか、そーですか
14	1198689181	15		名無し編集部員			2007-12-27 02:53:07	OlMRMxJg	" PINKちゃんねる秘密基地の秘密基地 
http://mamono.2ch.net/test/read.cgi/nanmin/1198580303/941 

941 名前： ◆MUMUMUhnYI [] 投稿日：2007/12/27(木) 02:50:40  BE:2736656-PLT(80260) 
体がだめだめなので、これだけ書いておこう。 
--- 

Jim-san, 

79-san posted today the following URI in bbspink in Japanese. 

PINKちゃんねる規制について考えてみるスレ 
http://pie.bbspink.com/test/read.cgi/erobbs/1185386031/974 
He/she said, 
""I had plans to deceive Jim-san about the situation of bbspink."" 

I am not sure what she talked about, 
but I can not accept in such his/her mind. 

So Jim-san, you are an owner of bbspink. 
Of course you should have to know all happens in bbspink clearly and correctly. 

And I posted in the following URI in Japanese, with a little bit upset mind. 

""Do you think who is the owner in here? 
Are you a fool? 

You deceive the owner and what did you intend to do? 

You have deceived not only Hiroyuki that also Jim-san. 
I can't believe you anymore."" 

PINKちゃんねる規制について考えてみるスレ 2 
http://pie.bbspink.com/test/read.cgi/erobbs/1198627194/229"
