	thread_no	post_no	subject	author	tripcode	capcode	date	user_id	body
0	1198672563	1	Let's talk with Jim-san. Part6	名無し編集部員			2007-12-26 21:36:03	sPGWXRD1	" Let's talk with Jim-san , who is the manager of bbspink.com. 
If you can write your questions or some other things in English, 
please write them in English. 

Since Jim-san is very kind, 
so that in case you get spelling error, 
or write in incorrect grammar, 
he will be able to understand what you want to say. 

Those who cannot understand English may write them in Japanese. 
Accommodating persons will translate for you. 

このスレッドは、ピンクちゃんねるの管理人さんのジムさんと 
英語でお話しようスレです。 
英語できる人は、できれば英語で書いてくださいな。 
ジムさんは、とってもやさしいので 
文法とか単語のつづりが「かなり間違っている」英語でも 
きっとわかってくれますよん。 

英語はどうしても無理、って人は日本語でどうぞ。 
親切な人がきっと翻訳してくれます。 

Jim-san cap handle. 
Jim ◆6P7QkQf8Ys ＠Apparently admin ★ 

A previous thread 
Let's talk with Jim-san. Part5 
http://pie.bbspink.com/test/read.cgi/erobbs/1178546129/"
1	1198672563	2		名無し編集部員			2007-12-26 21:37:51	sJFFD0C4	 Confusion will be my epitaph...
2	1198672563	3		07022030460302_er	WOLF/Lo/sE		2007-12-26 21:40:17	NoG5SwV+	" I said that you must make a compliant to FOX. 
Anyway,we want to suggest us masterplan. 
Suggest us right here."
3	1198672563	4		名無し編集部員			2007-12-26 21:41:27	6tm4wtne	 Anyway you stop that abusion right now!!!!
4	1198672563	5		名無し編集部員			2007-12-26 21:42:14	aogGRUnX	" I think Jim should stop bbs.cgi for save our threads and log. 

Jim can stop ""A cracker"" by e-mail. 
But, without bbs.cgi of 2ch, other crackers may attack our log, as thread ""Let's talk with Jim-san. Part5""."
5	1198672563	6		07022030460302_er	WOLF/Lo/sE		2007-12-26 21:43:19	NoG5SwV+	" >>4 
日本語でいいよ 

取り敢えず止めた"
6	1198672563	7		名無し編集部員			2007-12-26 21:55:31	6tm4wtne	" 向こうはクリスマス休暇だからゆっくり待てば 
せかせかするのはいくない"
7	1198672563	8		名無し編集部員			2007-12-27 00:13:23	TnKj2NK3	 保守
8	1198672563	9		名無し編集部員			2007-12-27 00:16:53	ffsa/Xof	
9	1198672563	10		名無し編集部員			2007-12-27 00:36:17	KrSUyNZ7	 保守
10	1198672563	11		名無し編集部員			2007-12-27 01:04:39	ffsa/Xof	 保守
11	1198672563	12		>>1-567890123456789012345678901234567890123456789012345678			2007-12-27 01:05:12	LKhn11Az	" >>1-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
>>1-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
>>1-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
>>1-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
>>1-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
>>1-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
>>1-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
>>1-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
>>1-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
>>1-100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
12	1198672563	13		>>1-567890123456789012345678901234567890123456789012345678			2007-12-27 01:05:12	LKhn11Az	" >>1-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
>>1-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
>>1-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
>>1-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
>>1-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
>>1-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
>>1-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
>>1-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
>>1-10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 
>>1-100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
