	thread_no	post_no	subject	author	tripcode	capcode	date	user_id	body
0	1198685309	1	Let's talk with Jim-san. Part7	名無し編集部員			2007-12-27 01:08:29	ffsa/Xof	" Let's talk with Jim-san , who is the manager of bbspink.com. 
If you can write your questions or some other things in English, 
please write them in English. 

Since Jim-san is very kind, 
so that in case you get spelling error, 
or write in incorrect grammar, 
he will be able to understand what you want to say. 

Those who cannot understand English may write them in Japanese. 
Accommodating persons will translate for you. 

このスレッドは、ピンクちゃんねるの管理人さんのジムさんと 
英語でお話しようスレです。 
英語できる人は、できれば英語で書いてくださいな。 
ジムさんは、とってもやさしいので 
文法とか単語のつづりが「かなり間違っている」英語でも 
きっとわかってくれますよん。 

英語はどうしても無理、って人は日本語でどうぞ。 
親切な人がきっと翻訳してくれます。 

Jim-san cap handle. 
Jim ◆6P7QkQf8Ys ＠Apparently admin ★ 

A previous thread 
Let's talk with Jim-san. Part6 
http://pie.bbspink.com/test/read.cgi/erobbs/1198672563/"
1	1198685309	2		名無し編集部員			2007-12-27 01:33:28	ffsa/Xof	
2	1198685309	3			79EROOYuCc		2007-12-27 01:39:35	xR3mGHI6	 もしもし？
3	1198685309	4		名無し編集部員			2007-12-27 01:41:11	Ya7oJ7Iy	" Jim-san 
I trust you."
4	1198685309	5		名無しさんだよもん			2007-12-27 01:42:15	7l/DVrXj	" 現在の最前線 

PINKちゃんねる秘密基地の秘密基地  
ttp://mamono.2ch.net/test/read.cgi/nanmin/1198580303/l50"
5	1198685309	6		名無し編集部員			2007-12-27 01:42:46	j2cWHQt3	 JIMさんは荒らしが横行する今のBBSPINKをどう思っていますか？
6	1198685309	7		名無し編集部員			2007-12-27 01:43:54	aoF4oE5i	" 79氏 
秘密基地板のスレ一覧見てもらえばわかるけど、 
ここも埋め立て荒らしにやられちゃってやばいんじゃないすか"
7	1198685309	8			79EROOYuCc		2007-12-27 01:44:12	xR3mGHI6	" >>6 

What do you think about bbspink, which is botherd by vandalism?"
8	1198685309	9		名無し編集部員			2007-12-27 01:44:28	ffsa/Xof	 Yoo-Hoo, Jim...
9	1198685309	10		Jim	6P7QkQf8Ys	＠Apparently admin	2007-12-27 01:45:04	???	" I can't go to mamono. They have me blocked...;) 
Working on the problem right now trying to find a 21st century solution. 
Sumi-masen. If I am not chatting right now."
10	1198685309	11			79EROOYuCc		2007-12-27 01:45:24	xR3mGHI6	 >>10　you have T-3
