	board	thread_no	post_no	subject	author	email	tripcode	capcode	date	user_id	body
0	erobbs	1393402233	1	Let's talk with Jim-san. Part27	名無し編集部員	sage			2014-02-26 17:10:33	zqdcgJZR	" このスレはピンクちゃんねる&2chのCEO、ジムさんと英語でお話しようスレです 
英語できる人はできれば英語で書いてくださいな 
ジムさんはとってもやさしいので、文法とか単語のつづりが「かなり間違ってる」英語でも 
きっとわかってくれますよん 
念のため日本語の原文を添えてもらえれば状況に応じて支援あるかも 

英語はどうしても無理って人は日本語で 
文法が整ってる簡単な日本語はジムさんが翻訳して読んでくれます 

※:機械翻訳だけを書いても意味不明な場合がほとんどです 
　　機械翻訳の場合日本語を添えると優しい人が翻訳してくれるかもしれません 
※.立派な英文投函される方も日本語で本意を示しておくことを推奨(蚊帳の外ゲーム強行?) 

Jim-san cap handles; 
xerxes.maido3.net＠Apparently admin ★ 
酉割れの話もあるので現在はvip40011.maido3.netや 
111.68.39.236(111.68.36.0/22)などでホンモノ表示を行っています 

prev. thread 
Let's talk with Jim-san. Part26 
http://pele.bbspink.com/test/read.cgi/erobbs/1393182304/ 

CTO、Code Monkeyさんとお話ししたい方はこちらのスレで 
Let's talk with Code Monkey-san 
http://pele.bbspink.com/test/read.cgi/erobbs/1393152643/"
1	erobbs	1393402233	2		田村		HjEZNzSHkU		2014-02-26 17:19:31	eUPfrbHb	" 　　　　　　　　　　　 .γ⌒｀-、　　　　　　　　　　　　,-'´⌒ヽ 
　　　　　　　　　　　.Y　　　　ヽ　　　　　　　　　　　 /　　　　 Y 
　　　　　　　　　　　 〉　　　l　 ＼　　　　　　　＿　/　　l　　　〈――　＿ 
　　　　　　　　　　　.|　　　　|　　 ＼　　　―　　 ./　　. |　　　 .|　　　　　　― ＿ 
　　　　　　　　　　　|　　　　|　　　　ヽ／　　　　/　　　　|　　　　|　　＿＿　　　　 ＼ 
　　　　　 γ⌒｀-、|　　　.λ　　　／　　　 ,-'´⌒ヽ　　 .|　　　 .|￣　　　　￣　＼　 ＼ 
　　　　　Y　　　　ヽ|　　　/ ヽ ／　　　　 /　　　　 Y　 /ヽ　　　|　　　　　　　　　 ＼　＼ 
　　　　　.〉　　　l　 ＼　 /　 ./　　　　　./　　l　　　〈 .ﾉ　 ヽ　　 |　　　 　　 　 　　　 |　 | 
　　　　　|　　　　|　　 ＼ｌ　/　　　　　 /　　. |　　　 .|　　 　i　　 |　　　　　　　　　　 |　| 
　　　　 .|　　　　|　　　　ヽ|　　　　　 /　　　　|　　　　|　　　}　　{　　　　　　　　　　/ノ 
　　　　 .|　　　.λ　　　　|　　　　　　　　　　　|　　　 .|　　 （　　 ｀-、__ 
　　　　 .|　　　/ ヽ　　　|　　　　　 　　　　　./ヽ　　　|　　　｀'-、_　=ξ 
　　　　 .|　　 /　 ヽ　　 |　　　　　i　　　　　ﾉ　 ヽ　　 |　　　　　　｀.-' 
　　　　 .|　　ｌ　　　 ｀ｰ､|　　　　　| -､__, -'　　　 i　　 | 
　　　　 .}　 （　　　 　　 |　　　　　|　　　　　 　 　 }　　{ 
　＿ ,-'　　 _）　　　　　 |　　　　　|　　　　　　　　（　　 ｀-、__ 
..ξ=　_, -'´　　　　　　　|　　　　　|　　　　　　　　 ｀'-、_　=ξ 
　｀‐'´　　　　　　　 　 　 |　　　　　|　　　　　　　　　　 　｀.-' 
　　　　　　　　　　　　　／￣￣￣￣＼ 
　　　　　　　　　　　　/;;::　　　　　　　::;ヽ 
　　　　　　　　　　　　|;;:: ｨ●ｧ　　ｨ●ｧ::;;| 
　　　　　　　　　　　　|;;::　　　　　　　　::;;|2get！ 
　　　　　　　　　　　　|;;:: 　　c{　っ　　::;;| 
　　　　　　　　　　　　 |;;::　　＿＿　　::;;;| 
　　　　　　　　　　　　 ヽ;;::　　ー　　::;;／ 
　　　　　　　　　　　　　　＼;;::　　::;;／ 
　　　　　　　　　　　　　　　 ￣￣￣"
2	erobbs	1393402233	3		名無し編集部員	sage			2014-02-26 19:33:03	2Zb8VsD3	" Jim -San 

please ID system to 「Qualification」 
http://ikura.2ch.net/lic/ 

strawman sockpuppet.&troll. 

wicked... 

We ask for cooperation in this matter."
3	erobbs	1393402233	4		名無し編集部員	sage			2014-02-26 20:22:41	4cCHrk8W	" >>3 
ID制について話し合うスレ 
http://pele.bbspink.com/test/read.cgi/erobbs/1393202985/"
4	erobbs	1393402233	5		名無し編集部員				2014-02-26 20:26:27	K9amdSym	" 現在進行中以外の話やその他雑談がしたい人は以下でお願いします 
↓のスレもJimさんは見てます 

アフィ・著作権・転載・引用などを議論するスレ 
http://pele.bbspink.com/test/read.cgi/erobbs/1393257382/ 

Jimさん関連の雑談所 
http://pele.bbspink.com/test/read.cgi/erobbs/1392979910/"
5	erobbs	1393402233	6		名無し編集部員				2014-02-26 20:28:56	GSnwRoYS	 Bitcoin has gone.
6	erobbs	1393402233	7		名無し編集部員	sage			2014-02-26 20:37:01	0tlYkFNF	" >>5 
現在進行中のまとめみたいなのは無いの？"
7	erobbs	1393402233	8		名無し編集部員	sage			2014-02-26 20:38:42	jWxqtzBS	 まとめの話はタブーｗ
8	erobbs	1393402233	9		名無し編集部員				2014-02-26 20:41:02	TexRo+fX	" The function of a （erochara） moves outside. 
It is called the (The shelter of a chara salon's  
shelter) there. 
Now, the main is a (The shelter of a chara salon's  
shelter).  
The number which originally uses a （erochara） is lost. 

main　http://jbbs.shitaraba.net/otaku/5556/ 
sub　 http://pele.bbspink.com/erochara/ 

The (The shelter of a chara salon's  
shelter) took information like a conclusion blog, and has spoiled profits. 
A user will be taken by the same external bulletin board if measures are not taken."
9	erobbs	1393402233	10		名無し編集部員	sage			2014-02-26 20:44:35	ExSQM6P6	" >>5 
根拠も貼っとけ 
554 名前：xerxes.maido3.net＠Apparently admin ★[] 投稿日：2014/02/25(火) 08:54:00.54 ID:??? 
>>550 
Some nice people made two new threads for 
in depth discussion. It is better for you 
to post your thoughts, or ideas on one of 
those threads. 

Thread to discuss ID system 
http://pele.bbspink.com/test/read.cgi/erobbs/1393202985 

Thread to discuss such as Affinia, copyrights, reproduction, quotation 
http://pele.bbspink.com/test/read.cgi/erobbs/1393257382"
10	erobbs	1393402233	11		名無し編集部員	sage			2014-02-26 20:51:01	V5/if/jt	 板で投票して、転載禁止賛成意見が多かったら転載禁止してくれるってこと？
11	erobbs	1393402233	12		e0109-106-188-24-21.uqwimax.jp				2014-02-26 20:57:52	p/C+xFDb	" いい加減自治厨をどうにかしてくれ 
どの板でも湧いてうぜーわ"
12	erobbs	1393402233	13		名無し編集部員	sage			2014-02-26 21:09:55	FR/qkC0/	" 自治厨は氏ね 

後、新運営が変更した点のまとめって無いの？？？ 
無駄に勢いあるからまとめ無いと困るんだけど 

ずっと張り付いてる奴はまとめ作れよ"
13	erobbs	1393402233	14		名無し編集部員	sage			2014-02-26 21:12:19	jWxqtzBS	" だからそのまとめでもめてんでしょ。 
アフィリエイトのある場所に作ったら×なんだろうし。 

２ちゃんないにそういうスレつくれば問題ないんだろうけど。"
14	erobbs	1393402233	15		名無し編集部員	sage			2014-02-26 21:14:49	lwpfksUi	" ここでは何の話をしたらいいの？ 

What should we talk about in this thread?"
15	erobbs	1393402233	16		名無し編集部員	sage			2014-02-26 21:20:26	7tsa6nhR	" >>15 
わざわざ園児みたいにネタふりされなきゃ 
会話できないなら黙ってれば良いよ"
16	erobbs	1393402233	17		名無し編集部員	sage			2014-02-26 21:22:18	lwpfksUi	" >>16 
>>1読めカス 

Please read >>1"
17	erobbs	1393402233	18		名無し編集部員	sage			2014-02-26 21:23:06	oulz/HCB	 その流が早い状況のスレを見て返事までしなきゃいけないJIMさんの事を気遣ってあげれるようになるといいなおまいら
18	erobbs	1393402233	19		名無し編集部員	sage			2014-02-26 21:23:35	0tlYkFNF	" 誰がまとめサイトの話してんだよ 
現在進行中の議題のまとめをくれよって事だよ 
アフィ云々の誘導はわかり易いよ　現在進行中以外の話じゃ何がそうなるか判らない 
それともその日JIMが答えた話が現在進行中にでもなるのか"
19	erobbs	1393402233	20		名無し編集部員	sage			2014-02-26 21:24:26	FR/qkC0/	" >>14 
テンプレ用でここに作っとけばいいじゃん 
わざわざアフィの場所に張る必要ないだろ"
20	erobbs	1393402233	21		名無し編集部員	sage			2014-02-26 21:27:39	QUm6gdya	" >>19 
ログを読め 
嫌なら帰れ"
