	thread_no	post_no	subject	author	tripcode	capcode	date	user_id	body
0	1225521599	1	Let's talk with Jim-san. Part11	POE			2008-11-01 15:39:59	???	" Let's talk with Jim-san , who is the manager of bbspink.com. 
If you can write your questions or some other things in English, 
please write them in English. 

Since Jim-san is very kind, 
so that in case you get spelling error, 
or write in incorrect grammar, 
he will be able to understand what you want to say. 

Those who cannot understand English may write them in Japanese. 
Accommodating persons will translate for you. 

このスレッドは、ピンクちゃんねるの管理人さんのジムさんと英語でお話しようスレです。 
英語できる人は、できれば英語で書いてくださいな。 
ジムさんは、とってもやさしいので、文法とか単語のつづりが「かなり間違っている」英語でも 
きっとわかってくれますよん。 

英語はどうしても無理、って人は日本語でどうぞ。 
文法が整っている簡単な日本語は、ジムさんが翻訳して読んでくれます。 
正式な要望等で英文化が必要な方は、こちらもご利用ください。 
Translation／レス英訳・和訳スレ 
http://set.bbspink.com/test/read.cgi/erobbs/1198773496/ 

Jim-san cap handle. 
Jim ◆6P7QkQf8Ys ＠Apparently admin ★ 

A previous thread 
Let's talk with Jim-san. Part10 
http://set.bbspink.com/test/read.cgi/erobbs/1209220873/"
1	1225521599	2		Greenday			2008-11-01 16:50:16	???	" 

　　　　　　　　　*、　*、　　　　　　｡*ﾟ　　　 *-+。・+。-*｡+｡* 
　　　　　　　　／ ﾟ+、　ﾟ+、　　　*ﾟ　・ﾟ　　　 ＼　 　 　 　。*ﾟ 
　　　　　　　∩　 　 *。　 *。　　　　+ﾟ　　　　∩　　　 * 
　　　(´･ω･`)　　　 　 +｡ 　 +｡　　　ﾟ*　　　 　(´･ω･`) 
　　　と　　　ﾉ　　　 　 *ﾟ　 *ﾟ　　　　・　　　　 。ヽ、　 つ 
　　　　と、ノ　　　　 ・ﾟ　 ・ﾟ　　　　　+ﾟ　　　　*　　ヽ、 ⊃ 
　　　　 ~∪　　　　*ﾟ　 *ﾟ　　　　　　*　　　 +ﾟ　　　 ∪~　　　☆ 
　　　　　　　　　 +′ +′　　　　　　+ﾟ　　　ﾟ+｡*。・+。-*｡+。*ﾟ"
2	1225521599	3		Jim	6P7QkQf8Ys		2008-11-02 07:25:46	IhMO7HMp	" Wow, DQN got it....:) 
I don't have fonts here yet. I got them to work one time. In a text editor, then copy and paste to the previous thread. 
then reboot took that away."
3	1225521599	4		名無し編集部員			2008-11-02 08:34:37	K/VJYmkk	 emailgenki.comにユーザーがアップロードした画像の中でどんな画像が面白かった？
4	1225521599	5			Ranger.9zk		2008-11-03 01:21:58	vRmZv0ZK	" 　　　　　　　　.　　　　　　　 _,r'""￣  
　　　　　　　　　　　　　　　/:::|  
　　　　　　　　　　　　　　　＼ヽ　　 _,.-‐'""￣￣￣￣｀` ‐- ､＿  
.　　　　　　　　　　　　　　　　,＞`＜.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.::..｀`ヽ､  
　　　　　　　　　　　　　　 ／ .:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.:. ＼:. ＼:. ＼:. ＼:.:.:.:.:.. ＼  
　　　　　　　　　　　　　／／／.:.:.:.:.:./|:: ﾄ､: :.:.:.:.:.ヽ:.:. ＼: :ヾヽ:ヽ:.:.:.:.:. : ＼  
　　　　　　　　　　　 ／／.:.:.:.／.:.:.:.//|:: |:.:.::.＼:.:.:.:.:.:. :. :ヽ:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.: ＼  
　　　　　　　　　　 /:.:, ｨ:.:.:／.:.:.:.:.:// .|:: |＼:.:.::.＼:.:.:.:.:.:.:.:.:.:.:.:.:.:.:.ヽ:.:.:.:.:.:.:.:.:.:.:ヽ  
　　　　　　　　　 /／／.:.:.:.:／ .::/l!|　 |:: |／へ:.:.l`＼:.:.:.:.:.:.:.:.:.:.:.:.:.:.l:.:.:.:.:.:.:.:.:.:.:.:|  
　　　　　　　　　|/ ./ ,: : ／／,ｲ .| |　　ヽ|'´ ／ラkz_ ヽ:.:.:.:.:.:.:.:.:. |:: |:.:.:.:.:.:.:.:.:.:.:.|  
.　　　　　　　　 |　 ! /: : ／: :/ |__| |　　　　// i{_rく`ﾄ/.:.:.:.:.:.: .: :/|ヽ|:.:.:.:.:.:.:.:.:.:.:.|　　  
.　　　　　　　　　　|/.:／.:.:.:;ｲ.:.:.', ヾ!　　　　 _,. ゞ‐ﾟ○/.:.:.:.:.:.:.:.:.:/.:|ﾆ､ヽ:.:.:.:.:.:.:.:.:.:!     Jim−san... 
　　　　　　　　　　/ :／!l: /:||:.:.:.:lzz､　　///"""""""""" /.:.:.:.:.:.:.:.:.:.:.:.:.|-､ヾ.ｌ:.:.:.:.:.:.:.:ﾄ|　　  
.　　　　　　　　　 | /　 lﾊ: : !|:.:.:.:| ‐'　　　　　　　／ｲ /.::/.:.:.:.:.:.:.:ﾄ　ｌ ｌ |:.:.:.:.:.:.:.:|  
.　　　　　　　　　 |!　　 | ヽ: :ヽ: :ﾄ､　　　　　　　　 / /／.:.:.:.:.:.:.:.:i|-‐'／.:.:.:.: /V　　  
　　　　　　　　　　　　　　　＼: : |　､⌒ヽ　　　　 /.:.:.:/!:.:.:.:.:.:.:|:.:.l|‐'´.:.:.:.: : /  
　　　　　　　　　　　　　　　　 }l: :ヽ ヽ/´;　　　 / .:／ |:.:.:.:.:./l| !|ヽ: : ,ｨ'ﾚ'´  
　　　　　　　　　　　　　　　／／ ,ハ　ｰ'　　 ／／　　|::.:.:.:/　|从::: ,ｲ.  
　　　　　　　　　　　　 -‐ｧ"",ｲ/ // ,ﾊ、　　´￣　　　/.:.:.:/ ／　　　　　｀ヽ  
　　　　　　　　　　　　 ／／ | ://: :/|/￣￣|　　　//:::／j {′　　　　　　　 ,  
.　　　　　　　　　　　 /／　　| |/: :/./　　　_}　　.　-‐　　j }　　　　　　　　　 '  
　　　　　　　　　　　/′　　　!:.:.:/　 __,∠　　／　　　　 //　　　　　　　　　　l  
　　　　　　　　　　　　　　　／￣　 ／　　　　　　　　rノ {　　 {　　　　　　　　|  
　　　　　　　　　　　　　　/　　　／　　　　　rz２=彡'　　ﾍ　　ﾊ　　　　　　　 |  
　　　　　　　　　　　　　 .{,.　 '""　　　,　(て少 '""´　　　　　',　　 :、　　　　　　|  
　　　　　　　　　　　 ／{　　　　　 /r(ｸ´　　　　　　　　　　',　　 }　　　　　　　|  
　　　　　　　　　　／　{（　　　　　.'ｲ/　　　　　　　　　　　 i}　} ！　　　　　　|  
　　　　　　　　　〃　　 V）　　 　 ｢ﾌ　　　　　　　　　　　　ｉ}　'　 l　　　　　　 l  
　　　　　　　　 ″　　　 ?dﾍ　　 ｢{　　　　　　　　　　　　　}｝/　　l　　　　　　l  
　　　　　　　　{　　　　　　`ｰう{ﾝく}、　　　　　　　　　　　 j/　　　 l　　　　　　l  
.　　　　　　　　',　　　　　　　　 { }　{＼　　　　　　　　　 ／`　､　　l　　　　　　l  
　　　　　　　　　＼　　　　　　ノり　り　≧ｭ　＿_ ..　　'′　　　＼/!　　　　　　l  
　　　　　　　　　　 ` ｰr-‐≦ ﾆ -─　　 ´￣￣　　ｰ-　 _　　　 /' l　　　　　　|  
　　　　　　　　　　　　 ｉf'´　　　　　　　　　　　　　　　　　　｀ヽ / 　l　　　　　　 |  
　　　　　　　　　　　　 |{　　　　　　　　　　　　　　　　　　　　 /　　 l　　　　　　 |  
　　　　　　　　　　　　 |:}　　　　　　　　　　　　　　　　　　　 /　　　 l　　　　　　|"
5	1225521599	6		Jim	6P7QkQf8Ys		2008-11-03 09:42:32	+RY0Egvd	" >>4 
Just send the picture to emailgenki, and it will send you back the url it is on. Sorry I still don't have the Japanese fonts quite right. 
pic@emailgenki.com"
6	1225521599	7		Jim	6P7QkQf8Ys		2008-11-03 09:43:02	+RY0Egvd	 >>5 She is beautiful Ranger-san. Thank you so much.
7	1225521599	8		Jim	6P7QkQf8Ys		2008-11-03 13:22:52	+RY0Egvd	" I have given up with freeBSD 7.0 as a desktop. Basically it sucks. Must be a wonderful server though. 
Now I am installing fedora 9.0 and will overwrite everything. I am guessing it will work right out of the box. 
be back in a couple hours."
8	1225521599	9		名無し編集部員			2008-11-03 13:55:33	QUNskTj4	" 【百合】女の子同士の画像 第五十四弾【レズ】 
http://yomi.bbspink.com/test/read.cgi/ascii2d/1223827263/ 

このスレでは専用のアップローダ 
ttp://yurilove.4shared.com/  
を開設し漫画のアップを続けてまいりました 
共通のパスワードはyuriと決めてからは、パスで荒れることもなく、住人間の争いもさほどなく進行してきました 

しかしここ数ヶ月の間、心無い人間が著作物のアップロードは違法であると称して 
漫画のアップについて削除依頼を出しているようです 

住人は度重なるアップ妨害行為によりほとほと迷惑しています 
住人を救う手段はないのでしょうか"
9	1225521599	10		名無し編集部員			2008-11-03 15:41:15	QUNskTj4	" 参考。住人の意見。 
理屈の正しさやルールを盾に削除を行うことは許されない。 

798 名前：名無したん(;´Д｀)ﾊｧﾊｧ[sage] 投稿日：2008/11/03(月) 15:36:04 ID:6E8gL1// 
>>795 
通報する側にも問題があるから仕方がない。 
ガイドラインを盾にとり、スレストという武器を持って強制的に排除しようとしたって、 
そんな事された側は気分が悪いだけ。 
いくら理屈が正しかったとしても、そういう強引なやり方は通らないのが常。 

おまけに、ここや削除議論スレに来た相手を煽って遊ぶ輩までいるから始末に終えない。 
わざわざここに書きこむ人というのは、普段も角煮に書き込みしてる人だろうから、 
ある意味で角煮をもっとも支えている層の人なのに。"
